	TransID	ActivityName	Time	eLetter_Type	eLetter_ID	ShapeID	ShapeNumber	OK_After_Review_14_perc	OK_After_Review_17_perc	OK_After_Review_25_perc	ProcessName	Analyze_Criteria_AVG	Analyze_Criteria_STD	Create_Initial_Draft_MAX	Create_Initial_Draft_MIN	Create_Proof_AVG	Create_Proof_STD	Delta_Time	Gather_Materials	Internal_Review_MAX	Internal_Review_MIN	Modify_Criteria_AVG	Modify_Criteria_STD	Optimize_Graphics_MAX	Optimize_Graphics_MIN	Outline_Text	Paste_In_Template_AVG	Paste_In_Template_STD	Preempt	Priority	Pull_Target_List_MAX	Pull_Target_List_MIN	Review_13_AVG	Review_13_STD	Review_16_AVG	Review_16_STD	Send_On	timeStamp	caseEnd	caseStart	relativeTime	relativeTime_s
24	4	Gather Materials	87000.0	Type_1	5	1341	7	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 10:10:00.000000000	2016-01-02 10:10:00.000000000	2016-01-02 01:29:03.539184000	0 days 08:40:56.460816	31256
25	5	Request	87000.0	Type_1	13	767	1	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 10:10:00.000000000	2016-01-02 10:10:00.000000000	2016-01-02 10:00:00.000000000	0 days 00:10:00	600
26	1	 Create Initial Draft	106382.944338	Type_1	1	207	9	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 15:33:02.944338000	2016-01-02 15:33:02.944338000	2016-01-02 10:04:23.936862000	0 days 05:28:39.007476	19719
27	6	Create Initial Target List	112386.635797	Type_1	1	21	22	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 17:13:06.635797000	2016-01-02 17:13:06.635797000	2016-01-02 10:04:23.936862000	0 days 07:08:42.698935	25722
28	7	Outline Text, Targeting, and URLs	87900.0	Type_1	5	205	8	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 10:25:00.000000000	2016-01-02 10:25:00.000000000	2016-01-02 10:10:00.000000000	0 days 00:15:00	900
29	5	Start	87000.0	Type_1	13	1376	2	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 10:10:00.000000000	2016-01-02 10:10:00.000000000	2016-01-02 10:10:00.000000000	0 days 00:00:00	0
30	5	Schedule Activities	88068.808577	Type_1	13	15	3	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 10:27:48.808577000	2016-01-02 10:27:48.808577000	2016-01-02 10:10:00.000000000	0 days 00:17:48.808577	1068
31	8	Outline Text, Targeting, and URLs	88500.0	Type_2	2	205	8	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 10:35:00.000000000	2016-01-02 10:35:00.000000000	2016-01-02 10:20:00.000000000	0 days 00:15:00	900
32	4	 Create Initial Draft	104720.828435	Type_1	5	207	9	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 15:05:20.828435000	2016-01-02 15:05:20.828435000	2016-01-02 10:25:00.000000000	0 days 04:40:20.828435	16820
33	7	Create Initial Target List	115625.204083	Type_1	5	21	22	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 18:07:05.204083000	2016-01-02 18:07:05.204083000	2016-01-02 10:25:00.000000000	0 days 07:42:05.204083	27725
34	5	Broadcast Request for Related Articles	113671.024341	Type_1	13	194	5	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 17:34:31.024341000	2016-01-02 17:34:31.024341000	2016-01-02 10:27:48.808577000	0 days 07:06:42.215764	25602
35	9	Outline Text, Targeting, and URLs	90900.0	Type_4	4	205	8	100	100	100	Newsletter	30	9	15	9	90	30	2	30	9	3	3	3	270	135	45	135	30	False	0	6	3	90	45	90	45	30	2016-01-02 11:15:00.000000000	2016-01-02 11:15:00.000000000	2016-01-02 10:30:00.000000000	0 days 00:45:00	2700
36	2	 Create Initial Draft	106890.731234	Type_2	2	207	9	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 15:41:30.731234000	2016-01-02 15:41:30.731234000	2016-01-02 10:35:00.000000000	0 days 05:06:30.731234	18390
37	8	Create Initial Target List	115813.557032	Type_2	2	21	22	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 18:10:13.557032000	2016-01-02 18:10:13.557032000	2016-01-02 10:35:00.000000000	0 days 07:35:13.557032	27313
38	3	 Create Initial Draft	186331.90956	Type_4	4	207	9	100	100	100	Newsletter	30	9	15	9	90	30	2	30	9	3	3	3	270	135	45	135	30	False	0	6	3	90	45	90	45	30	2016-01-03 13:45:31.909560000	2016-01-03 13:45:31.909560000	2016-01-02 11:15:00.000000000	1 days 02:30:31.909560	95431
39	9	Create Initial Target List	172834.634009	Type_4	4	21	22	100	100	100	Newsletter	30	9	15	9	90	30	2	30	9	3	3	3	270	135	45	135	30	False	0	6	3	90	45	90	45	30	2016-01-03 10:00:34.634009000	2016-01-03 10:00:34.634009000	2016-01-02 11:15:00.000000000	0 days 22:45:34.634009	81934
40	10	Request	94200.0	Type_2	14	767	1	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 12:10:00.000000000	2016-01-02 12:10:00.000000000	2016-01-02 12:00:00.000000000	0 days 00:10:00	600
41	10	Start	94200.0	Type_2	14	1376	2	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 12:10:00.000000000	2016-01-02 12:10:00.000000000	2016-01-02 12:10:00.000000000	0 days 00:00:00	0
42	10	Schedule Activities	95630.523789	Type_2	14	15	3	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 12:33:50.523788999	2016-01-02 12:33:50.523788999	2016-01-02 12:10:00.000000000	0 days 00:23:50.523788999	1430
43	10	Broadcast Request for Related Articles	116825.204083	Type_2	14	194	5	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 18:27:05.204083000	2016-01-02 18:27:05.204083000	2016-01-02 12:33:50.523788999	0 days 05:53:14.680294001	21194
44	4	Internal Review And Changes	110284.922466	Type_1	5	95	10	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 16:38:04.922466000	2016-01-02 16:38:04.922466000	2016-01-02 15:05:20.828435000	0 days 01:32:44.094031	5564
45	1	Internal Review And Changes	112771.024341	Type_1	1	95	10	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 17:19:31.024341000	2016-01-02 17:19:31.024341000	2016-01-02 15:33:02.944338000	0 days 01:46:28.080003	6388
46	2	Internal Review And Changes	115556.099513	Type_2	2	95	10	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 18:05:56.099513000	2016-01-02 18:05:56.099513000	2016-01-02 15:41:30.731234000	0 days 02:24:25.368279	8665
47	11	Request	108600.0	Type_4	16	767	1	100	100	100	Newsletter	30	9	15	9	90	30	2	30	9	3	3	3	270	135	45	135	30	False	0	6	3	90	45	90	45	30	2016-01-02 16:10:00.000000000	2016-01-02 16:10:00.000000000	2016-01-02 16:00:00.000000000	0 days 00:10:00	600
48	11	Start	108600.0	Type_4	16	1376	2	100	100	100	Newsletter	30	9	15	9	90	30	2	30	9	3	3	3	270	135	45	135	30	False	0	6	3	90	45	90	45	30	2016-01-02 16:10:00.000000000	2016-01-02 16:10:00.000000000	2016-01-02 16:10:00.000000000	0 days 00:00:00	0
49	11	Schedule Activities	109906.494954	Type_4	16	15	3	100	100	100	Newsletter	30	9	15	9	90	30	2	30	9	3	3	3	270	135	45	135	30	False	0	6	3	90	45	90	45	30	2016-01-02 16:31:46.494954000	2016-01-02 16:31:46.494954000	2016-01-02 16:10:00.000000000	0 days 00:21:46.494954	1306
50	11	Broadcast Request for Related Articles	117013.557032	Type_4	16	194	5	100	100	100	Newsletter	30	9	15	9	90	30	2	30	9	3	3	3	270	135	45	135	30	False	0	6	3	90	45	90	45	30	2016-01-02 18:30:13.557032000	2016-01-02 18:30:13.557032000	2016-01-02 16:31:46.494954000	0 days 01:58:27.062078	7107
51	4	Optimize Graphics	114033.522428	Type_1	5	62	11	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 17:40:33.522428000	2016-01-02 17:40:33.522428000	2016-01-02 16:38:04.922466000	0 days 01:02:28.599962	3748
52	6	Send To Production	112686.635797	Type_1	1	23	23	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 17:18:06.635797000	2016-01-02 17:18:06.635797000	2016-01-02 17:13:06.635797000	0 days 00:05:00	300
53	6	Analyze Criteria	113387.452762	Type_1	1	25	24	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 17:29:47.452762000	2016-01-02 17:29:47.452762000	2016-01-02 17:18:06.635797000	0 days 00:11:40.816965	700
54	1	Optimize Graphics	118050.795068	Type_1	1	62	11	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 18:47:30.795068000	2016-01-02 18:47:30.795068000	2016-01-02 17:19:31.024341000	0 days 01:27:59.770727	5279
55	1	OK?	180080.692676	Type_1	1	226	17	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-03 12:01:20.692676000	2016-01-03 12:01:20.692676000	2016-01-02 17:29:47.452762000	0 days 18:31:33.239914	66693
56	6	Pull Target List	174434.236121	Type_1	1	27	27	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-03 10:27:14.236121000	2016-01-03 10:27:14.236121000	2016-01-02 17:29:47.452762000	0 days 16:57:26.783359	61046
57	5	Delay	137295.733503	Type_1	13	1022	6	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-03 00:08:15.733503000	2016-01-03 00:08:15.733503000	2016-01-02 17:34:31.024341000	0 days 06:33:44.709162	23624
58	4	Paste In Template	116703.192118	Type_1	5	66	12	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 18:25:03.192118000	2016-01-02 18:25:03.192118000	2016-01-02 17:40:33.522428000	0 days 00:44:29.669690	2669
59	12	Request	115800.0	Type_1	17	767	1	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 18:10:00.000000000	2016-01-02 18:10:00.000000000	2016-01-02 18:00:00.000000000	0 days 00:10:00	600
60	2	Optimize Graphics	175254.940955	Type_2	2	62	11	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-03 10:40:54.940955000	2016-01-03 10:40:54.940955000	2016-01-02 18:05:56.099513000	0 days 16:34:58.841442	59698
61	7	Send To Production	115925.204083	Type_1	5	23	23	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 18:12:05.204083000	2016-01-02 18:12:05.204083000	2016-01-02 18:07:05.204083000	0 days 00:05:00	300
62	12	Start	115800.0	Type_1	17	1376	2	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 18:10:00.000000000	2016-01-02 18:10:00.000000000	2016-01-02 18:10:00.000000000	0 days 00:00:00	0
63	12	Schedule Activities	117153.693167	Type_1	17	15	3	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 18:32:33.693167000	2016-01-02 18:32:33.693167000	2016-01-02 18:10:00.000000000	0 days 00:22:33.693167	1353
64	8	Send To Production	116113.557032	Type_2	2	23	23	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 18:15:13.557032000	2016-01-02 18:15:13.557032000	2016-01-02 18:10:13.557032000	0 days 00:05:00	300
65	7	Analyze Criteria	116589.680003	Type_1	5	25	24	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 18:23:09.680003000	2016-01-02 18:23:09.680003000	2016-01-02 18:12:05.204083000	0 days 00:11:04.475920	664
66	8	Analyze Criteria	175428.990409	Type_2	2	25	24	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-03 10:43:48.990409000	2016-01-03 10:43:48.990409000	2016-01-02 18:15:13.557032000	0 days 16:28:35.433377	59315
67	4	OK?	178455.827047	Type_1	5	226	17	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-03 11:34:15.827047000	2016-01-03 11:34:15.827047000	2016-01-02 18:23:09.680003000	0 days 17:11:06.147044	61866
68	7	Pull Target List	176429.078843	Type_1	5	27	27	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-03 11:00:29.078843000	2016-01-03 11:00:29.078843000	2016-01-02 18:23:09.680003000	0 days 16:37:19.398840	59839
69	4	Review	178455.827047	Type_1	5	223	16	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-03 11:34:15.827047000	2016-01-03 11:34:15.827047000	2016-01-02 18:25:03.192118000	0 days 17:09:12.634929	61752
70	10	Delay	139207.419476	Type_2	14	1022	6	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-03 00:40:07.419476000	2016-01-03 00:40:07.419476000	2016-01-02 18:27:05.204083000	0 days 06:13:02.215393	22382
71	11	Delay	140285.825821	Type_4	16	1022	6	100	100	100	Newsletter	30	9	15	9	90	30	2	30	9	3	3	3	270	135	45	135	30	False	0	6	3	90	45	90	45	30	2016-01-03 00:58:05.825821000	2016-01-03 00:58:05.825821000	2016-01-02 18:30:13.557032000	0 days 06:27:52.268789	23272
72	12	Broadcast Request for Related Articles	118053.693167	Type_1	17	194	5	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-02 18:47:33.693167000	2016-01-02 18:47:33.693167000	2016-01-02 18:32:33.693167000	0 days 00:15:00	900
73	1	Paste In Template	175583.266033	Type_1	1	66	12	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-03 10:46:23.266033000	2016-01-03 10:46:23.266033000	2016-01-02 18:47:30.795068000	0 days 15:58:52.470965	57532
74	12	Delay	144097.340955	Type_1	17	1022	6	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-03 02:01:37.340955000	2016-01-03 02:01:37.340955000	2016-01-02 18:47:33.693167000	0 days 07:14:03.647788	26043
75	4	Create Proof	177199.776617	Type_1	5	219	15	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-03 11:13:19.776617000	2016-01-03 11:13:19.776617000	2016-01-02 18:49:18.562180000	0 days 16:24:01.214437	59041
76	5	Gather Materials	173400.0	Type_1	13	1341	7	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-03 10:10:00.000000000	2016-01-03 10:10:00.000000000	2016-01-03 00:08:15.733503000	0 days 10:01:44.266497	36104
77	10	Gather Materials	174000.0	Type_2	14	1341	7	80	85	25	Newsletter	10	3	5	3	30	10	2	20	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-03 10:20:00.000000000	2016-01-03 10:20:00.000000000	2016-01-03 00:40:07.419476000	0 days 09:39:52.580524	34792
78	11	Gather Materials	174934.634009	Type_4	16	1341	7	100	100	100	Newsletter	30	9	15	9	90	30	2	30	9	3	3	3	270	135	45	135	30	False	0	6	3	90	45	90	45	30	2016-01-03 10:35:34.634009000	2016-01-03 10:35:34.634009000	2016-01-03 00:58:05.825821000	0 days 09:37:28.808188	34648
79	12	Gather Materials	197543.657716	Type_1	17	1341	7	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-03 16:52:23.657716000	2016-01-03 16:52:23.657716000	2016-01-03 02:01:37.340955000	0 days 14:50:46.316761	53446
80	13	Request	173400.0	Type_1	25	767	1	100	100	100	Newsletter	10	3	5	3	30	10	2	10	3	1	1	1	90	45	15	45	10	False	0	2	1	30	15	30	15	10	2016-01-03 10:10:00.000000000	2016-01-03 10:10:00.000000000	2016-01-03 10:00:00.000000000	0 days 00:10:00	600
81	9	Send To Production	173134.634009	Type_4	4	23	23	100	100	100	Newsletter	30	9	15	9	90	30	2	30	9	3	3	3	270	135	45	135	30	False	0	6	3	90	45	90	45	30	2016-01-03 10:05:34.634009000	2016-01-03 10:05:34.634009000	2016-01-03 10:00:34.634009000	0 days 00:05:00	300
82	9	Analyze Criteria	179128.346122	Type_4	4	25	24	100	100	100	Newsletter	30	9	15	9	90	30	2	30	9	3	3	3	270	135	45	135	30	False	0	6	3	90	45	90	45	30	2016-01-03 11:45:28.346122000	2016-01-03 11:45:28.346122000	2016-01-03 10:05:34.634009000	0 days 01:39:53.712113	5993
